Time: 24.44, Detected Patient: 75, DetectionCount: 1
Time: 25.06, Detected Patient: 92, DetectionCount: 1
Time: 41.66, Detected Patient: 106, DetectionCount: 1
Time: 45.59, Detected Patient: 173, DetectionCount: 1
Time: 48.38, Detected Patient: 250, DetectionCount: 1
Time: 49.38, Detected Patient: 239, DetectionCount: 1
Time: 57.42, Detected Patient: 279, DetectionCount: 1
Time: 68.03, Detected Patient: 292, DetectionCount: 1
Time: 69.54, Detected Patient: 191, DetectionCount: 1
Time: 70.12, Detected Patient: 321, DetectionCount: 1
Time: 70.48, Detected Patient: 254, DetectionCount: 1
Time: 71.99, Detected Patient: 342, DetectionCount: 1
Time: 72.23, Detected Patient: 310, DetectionCount: 1
Time: 74.37, Detected Patient: 291, DetectionCount: 1
Time: 76.10, Detected Patient: 354, DetectionCount: 1
Time: 78.90, Detected Patient: 228, DetectionCount: 1
Time: 81.01, Detected Patient: 334, DetectionCount: 1
Time: 83.08, Detected Patient: 229, DetectionCount: 1
Time: 90.08, Detected Patient: 302, DetectionCount: 1
Time: 91.54, Detected Patient: 352, DetectionCount: 1
Time: 91.69, Detected Patient: 288, DetectionCount: 1
Time: 91.77, Detected Patient: 409, DetectionCount: 1
Time: 93.47, Detected Patient: 322, DetectionCount: 1
Time: 100.80, Detected Patient: 307, DetectionCount: 1
Time: 101.14, Detected Patient: 359, DetectionCount: 1
Time: 103.30, Detected Patient: 427, DetectionCount: 1
Time: 107.45, Detected Patient: 399, DetectionCount: 1
Time: 111.29, Detected Patient: 411, DetectionCount: 1
Time: 112.82, Detected Patient: 424, DetectionCount: 1
Time: 115.45, Detected Patient: 435, DetectionCount: 1
Time: 115.97, Detected Patient: 408, DetectionCount: 1
Time: 128.63, Detected Patient: 528, DetectionCount: 1
Time: 130.05, Detected Patient: 485, DetectionCount: 1
Time: 133.66, Detected Patient: 506, DetectionCount: 1
Time: 134.56, Detected Patient: 481, DetectionCount: 1
Time: 140.99, Detected Patient: 490, DetectionCount: 1
Time: 147.10, Detected Patient: 603, DetectionCount: 1
Time: 147.11, Detected Patient: 477, DetectionCount: 1
Time: 151.11, Detected Patient: 575, DetectionCount: 1
Time: 154.69, Detected Patient: 623, DetectionCount: 1
Time: 155.90, Detected Patient: 613, DetectionCount: 1
Time: 160.31, Detected Patient: 620, DetectionCount: 1
Time: 163.91, Detected Patient: 595, DetectionCount: 1
Time: 166.77, Detected Patient: 573, DetectionCount: 1
Time: 166.79, Detected Patient: 631, DetectionCount: 1
Time: 177.10, Detected Patient: 697, DetectionCount: 1
Time: 177.45, Detected Patient: 606, DetectionCount: 1
Time: 177.78, Detected Patient: 637, DetectionCount: 1
Time: 178.79, Detected Patient: 680, DetectionCount: 1
Time: 187.56, Detected Patient: 706, DetectionCount: 1
Time: 190.18, Detected Patient: 758, DetectionCount: 1
Time: 190.68, Detected Patient: 705, DetectionCount: 1
Time: 193.74, Detected Patient: 738, DetectionCount: 1
Time: 194.81, Detected Patient: 793, DetectionCount: 1
Time: 196.74, Detected Patient: 751, DetectionCount: 1
Time: 198.18, Detected Patient: 713, DetectionCount: 1
Time: 200.89, Detected Patient: 707, DetectionCount: 1
Time: 210.08, Detected Patient: 855, DetectionCount: 1
Time: 215.83, Detected Patient: 851, DetectionCount: 1
Time: 217.52, Detected Patient: 687, DetectionCount: 1
Time: 218.30, Detected Patient: 827, DetectionCount: 1
Time: 219.10, Detected Patient: 795, DetectionCount: 1
Time: 221.09, Detected Patient: 777, DetectionCount: 1
Time: 221.15, Detected Patient: 773, DetectionCount: 1
Time: 224.68, Detected Patient: 811, DetectionCount: 1
Time: 224.84, Detected Patient: 789, DetectionCount: 1
Time: 234.33, Detected Patient: 860, DetectionCount: 1
Time: 239.23, Detected Patient: 939, DetectionCount: 1
Time: 243.40, Detected Patient: 807, DetectionCount: 1
Time: 250.33, Detected Patient: 969, DetectionCount: 1
Time: 251.17, Detected Patient: 936, DetectionCount: 1
Time: 251.95, Detected Patient: 975, DetectionCount: 1
Time: 254.04, Detected Patient: 876, DetectionCount: 1
Time: 254.57, Detected Patient: 858, DetectionCount: 1
Time: 258.19, Detected Patient: 999, DetectionCount: 1
Time: 259.07, Detected Patient: 944, DetectionCount: 1
Time: 261.55, Detected Patient: 983, DetectionCount: 1
Time: 265.50, Detected Patient: 992, DetectionCount: 1
Time: 266.60, Detected Patient: 839, DetectionCount: 1
Time: 278.09, Detected Patient: 989, DetectionCount: 1
Time: 278.10, Detected Patient: 990, DetectionCount: 1
Time: 280.84, Detected Patient: 1076, DetectionCount: 1
Time: 285.02, Detected Patient: 924, DetectionCount: 1
Time: 286.78, Detected Patient: 1080, DetectionCount: 1
Time: 286.83, Detected Patient: 1090, DetectionCount: 1
Time: 286.99, Detected Patient: 1105, DetectionCount: 1
Time: 286.99, Detected Patient: 1032, DetectionCount: 1
Time: 287.64, Detected Patient: 1077, DetectionCount: 1
Time: 290.05, Detected Patient: 1028, DetectionCount: 1
Time: 290.28, Detected Patient: 1100, DetectionCount: 1
Time: 293.22, Detected Patient: 1116, DetectionCount: 1
Time: 301.52, Detected Patient: 1160, DetectionCount: 1
Time: 303.10, Detected Patient: 1013, DetectionCount: 1
Time: 306.32, Detected Patient: 966, DetectionCount: 1
Time: 307.57, Detected Patient: 1151, DetectionCount: 1
Time: 308.03, Detected Patient: 1205, DetectionCount: 1
Time: 309.02, Detected Patient: 1206, DetectionCount: 1
Time: 310.36, Detected Patient: 1208, DetectionCount: 1
Time: 310.48, Detected Patient: 1051, DetectionCount: 1
Time: 310.50, Detected Patient: 1136, DetectionCount: 1
Time: 310.61, Detected Patient: 1177, DetectionCount: 1
Time: 312.51, Detected Patient: 1176, DetectionCount: 1
Time: 313.71, Detected Patient: 1117, DetectionCount: 1
Time: 321.16, Detected Patient: 1123, DetectionCount: 1
Time: 323.97, Detected Patient: 1211, DetectionCount: 1
Time: 330.93, Detected Patient: 1260, DetectionCount: 1
Time: 337.19, Detected Patient: 1276, DetectionCount: 1
Time: 338.36, Detected Patient: 1298, DetectionCount: 1
Time: 341.88, Detected Patient: 1174, DetectionCount: 1
Time: 346.34, Detected Patient: 1323, DetectionCount: 1
Time: 349.63, Detected Patient: 1233, DetectionCount: 1
Time: 350.02, Detected Patient: 1111, DetectionCount: 1
Time: 351.08, Detected Patient: 1289, DetectionCount: 1
Time: 352.53, Detected Patient: 1297, DetectionCount: 1
Time: 352.97, Detected Patient: 1368, DetectionCount: 1
