Time: 10.79, Decolonized Patient: 81
Time: 19.73, Decolonized Patient: 120
Time: 23.85, Decolonized Patient: 97
Time: 29.23, Decolonized Patient: 158
Time: 36.88, Decolonized Patient: 212
Time: 44.44, Decolonized Patient: 142
Time: 46.94, Decolonized Patient: 160
Time: 55.00, Decolonized Patient: 238
Time: 62.19, Decolonized Patient: 272
Time: 68.86, Decolonized Patient: 184
Time: 69.69, Decolonized Patient: 261
Time: 71.89, Decolonized Patient: 223
Time: 72.65, Decolonized Patient: 245
Time: 75.79, Decolonized Patient: 189
Time: 93.54, Decolonized Patient: 409
Time: 94.04, Decolonized Patient: 350
Time: 94.29, Decolonized Patient: 377
Time: 97.15, Decolonized Patient: 345
Time: 99.14, Decolonized Patient: 380
Time: 104.75, Decolonized Patient: 335
Time: 118.61, Decolonized Patient: 405
Time: 120.59, Decolonized Patient: 453
Time: 122.46, Decolonized Patient: 424
Time: 124.10, Decolonized Patient: 349
Time: 127.33, Decolonized Patient: 470
Time: 127.50, Decolonized Patient: 441
Time: 128.17, Decolonized Patient: 335
Time: 132.42, Decolonized Patient: 507
Time: 136.52, Decolonized Patient: 506
Time: 137.63, Decolonized Patient: 556
Time: 139.62, Decolonized Patient: 511
Time: 149.24, Decolonized Patient: 503
Time: 151.81, Decolonized Patient: 527
Time: 153.76, Decolonized Patient: 601
Time: 155.73, Decolonized Patient: 347
Time: 159.31, Decolonized Patient: 660
Time: 160.70, Decolonized Patient: 559
Time: 163.56, Decolonized Patient: 548
Time: 164.25, Decolonized Patient: 610
Time: 172.56, Decolonized Patient: 517
Time: 173.95, Decolonized Patient: 548
Time: 176.03, Decolonized Patient: 631
Time: 180.78, Decolonized Patient: 653
Time: 181.10, Decolonized Patient: 547
Time: 183.50, Decolonized Patient: 488
Time: 187.41, Decolonized Patient: 693
Time: 191.56, Decolonized Patient: 724
Time: 201.97, Decolonized Patient: 776
Time: 202.56, Decolonized Patient: 681
Time: 203.93, Decolonized Patient: 745
Time: 205.91, Decolonized Patient: 517
Time: 208.40, Decolonized Patient: 775
Time: 208.91, Decolonized Patient: 781
Time: 210.52, Decolonized Patient: 713
Time: 211.18, Decolonized Patient: 765
Time: 217.07, Decolonized Patient: 800
Time: 218.48, Decolonized Patient: 797
Time: 220.45, Decolonized Patient: 876
Time: 221.02, Decolonized Patient: 785
Time: 235.65, Decolonized Patient: 886
Time: 236.81, Decolonized Patient: 792
Time: 238.64, Decolonized Patient: 840
Time: 242.27, Decolonized Patient: 879
Time: 242.53, Decolonized Patient: 886
Time: 243.33, Decolonized Patient: 860
Time: 251.82, Decolonized Patient: 957
Time: 252.54, Decolonized Patient: 893
Time: 254.05, Decolonized Patient: 931
Time: 259.90, Decolonized Patient: 848
Time: 265.38, Decolonized Patient: 865
Time: 267.82, Decolonized Patient: 963
Time: 269.06, Decolonized Patient: 778
Time: 270.48, Decolonized Patient: 886
Time: 272.36, Decolonized Patient: 865
Time: 276.68, Decolonized Patient: 1020
Time: 276.90, Decolonized Patient: 1007
Time: 277.12, Decolonized Patient: 865
Time: 281.59, Decolonized Patient: 886
Time: 284.34, Decolonized Patient: 1002
Time: 288.44, Decolonized Patient: 1032
Time: 290.41, Decolonized Patient: 1045
Time: 292.62, Decolonized Patient: 1002
Time: 294.22, Decolonized Patient: 1062
Time: 294.30, Decolonized Patient: 1068
Time: 294.80, Decolonized Patient: 1057
Time: 302.12, Decolonized Patient: 1054
Time: 305.40, Decolonized Patient: 981
Time: 305.57, Decolonized Patient: 982
Time: 313.04, Decolonized Patient: 1148
Time: 319.81, Decolonized Patient: 1104
Time: 320.35, Decolonized Patient: 1223
Time: 320.71, Decolonized Patient: 1062
Time: 323.38, Decolonized Patient: 886
Time: 337.85, Decolonized Patient: 1202
Time: 337.95, Decolonized Patient: 1254
Time: 338.10, Decolonized Patient: 1249
Time: 339.60, Decolonized Patient: 1171
Time: 342.82, Decolonized Patient: 1215
Time: 345.75, Decolonized Patient: 1293
Time: 352.97, Decolonized Patient: 1278
Time: 354.42, Decolonized Patient: 1270
Time: 361.20, Decolonized Patient: 1353
Time: 365.87, Decolonized Patient: 1292
Time: 367.50, Decolonized Patient: 1295
Time: 373.91, Decolonized Patient: 1235
Time: 376.60, Decolonized Patient: 1363
Time: 380.28, Decolonized Patient: 1394
Time: 385.39, Decolonized Patient: 1292
Time: 390.23, Decolonized Patient: 1387
Time: 395.40, Decolonized Patient: 1402
Time: 395.81, Decolonized Patient: 1441
Time: 399.32, Decolonized Patient: 1443
Time: 400.34, Decolonized Patient: 1456
Time: 400.49, Decolonized Patient: 1404
Time: 401.47, Decolonized Patient: 1470
Time: 405.07, Decolonized Patient: 1366
Time: 405.11, Decolonized Patient: 1529
Time: 405.36, Decolonized Patient: 1433
Time: 407.77, Decolonized Patient: 1466
Time: 410.49, Decolonized Patient: 1235
Time: 415.83, Decolonized Patient: 1528
Time: 430.89, Decolonized Patient: 1515
Time: 431.79, Decolonized Patient: 1474
Time: 433.76, Decolonized Patient: 1607
Time: 434.63, Decolonized Patient: 1511
Time: 436.86, Decolonized Patient: 1474
Time: 436.91, Decolonized Patient: 1631
Time: 438.63, Decolonized Patient: 1639
Time: 441.00, Decolonized Patient: 1603
Time: 441.99, Decolonized Patient: 1624
Time: 443.64, Decolonized Patient: 1560
Time: 445.64, Decolonized Patient: 1601
Time: 446.40, Decolonized Patient: 1627
Time: 448.96, Decolonized Patient: 1591
Time: 449.85, Decolonized Patient: 1481
Time: 450.16, Decolonized Patient: 1316
Time: 454.98, Decolonized Patient: 1688
Time: 458.62, Decolonized Patient: 1610
Time: 459.56, Decolonized Patient: 1686
Time: 462.67, Decolonized Patient: 1559
Time: 464.92, Decolonized Patient: 1596
Time: 471.13, Decolonized Patient: 1610
Time: 473.44, Decolonized Patient: 1591
Time: 475.36, Decolonized Patient: 1687
Time: 482.24, Decolonized Patient: 1692
Time: 485.13, Decolonized Patient: 1723
Time: 485.33, Decolonized Patient: 1717
Time: 485.43, Decolonized Patient: 1665
Time: 487.61, Decolonized Patient: 1726
Time: 488.42, Decolonized Patient: 1795
Time: 491.30, Decolonized Patient: 1783
Time: 494.93, Decolonized Patient: 1782
Time: 495.76, Decolonized Patient: 1802
Time: 498.88, Decolonized Patient: 1786
Time: 504.30, Decolonized Patient: 1834
Time: 513.66, Decolonized Patient: 1838
Time: 515.71, Decolonized Patient: 1890
Time: 516.58, Decolonized Patient: 1665
Time: 525.50, Decolonized Patient: 1920
Time: 526.50, Decolonized Patient: 1925
Time: 528.94, Decolonized Patient: 1665
Time: 532.38, Decolonized Patient: 1642
Time: 532.63, Decolonized Patient: 1936
Time: 533.17, Decolonized Patient: 1871
Time: 534.00, Decolonized Patient: 1923
Time: 537.13, Decolonized Patient: 1804
Time: 537.46, Decolonized Patient: 1963
Time: 542.24, Decolonized Patient: 1946
Time: 543.81, Decolonized Patient: 1970
Time: 545.77, Decolonized Patient: 2006
Time: 550.29, Decolonized Patient: 1642
Time: 554.26, Decolonized Patient: 1937
Time: 554.94, Decolonized Patient: 1982
Time: 557.81, Decolonized Patient: 1970
Time: 558.89, Decolonized Patient: 1989
Time: 559.25, Decolonized Patient: 1994
Time: 562.79, Decolonized Patient: 2010
Time: 565.02, Decolonized Patient: 2013
Time: 584.76, Decolonized Patient: 1937
Time: 606.33, Decolonized Patient: 2110
Time: 610.17, Decolonized Patient: 2119
Time: 610.28, Decolonized Patient: 2168
Time: 615.84, Decolonized Patient: 2205
Time: 620.53, Decolonized Patient: 2198
Time: 621.40, Decolonized Patient: 2206
Time: 624.16, Decolonized Patient: 2204
Time: 628.74, Decolonized Patient: 2281
Time: 638.32, Decolonized Patient: 2303
Time: 640.24, Decolonized Patient: 2266
Time: 643.63, Decolonized Patient: 2119
Time: 651.18, Decolonized Patient: 2261
Time: 663.87, Decolonized Patient: 2358
Time: 668.03, Decolonized Patient: 2237
Time: 686.37, Decolonized Patient: 2482
Time: 690.64, Decolonized Patient: 2475
Time: 692.79, Decolonized Patient: 2395
Time: 696.26, Decolonized Patient: 2392
Time: 697.05, Decolonized Patient: 2532
Time: 699.35, Decolonized Patient: 2289
Time: 702.54, Decolonized Patient: 2448
Time: 713.35, Decolonized Patient: 2570
Time: 716.58, Decolonized Patient: 2394
Time: 720.67, Decolonized Patient: 2509
Time: 721.14, Decolonized Patient: 2448
Time: 728.41, Decolonized Patient: 2584
Time: 734.31, Decolonized Patient: 2571
Time: 737.59, Decolonized Patient: 2530
Time: 739.86, Decolonized Patient: 2615
Time: 742.97, Decolonized Patient: 2624
Time: 743.40, Decolonized Patient: 2596
Time: 743.84, Decolonized Patient: 2509
Time: 749.88, Decolonized Patient: 2657
Time: 750.27, Decolonized Patient: 2620
Time: 752.48, Decolonized Patient: 2603
Time: 753.40, Decolonized Patient: 2448
Time: 753.91, Decolonized Patient: 2593
Time: 757.67, Decolonized Patient: 2650
Time: 758.10, Decolonized Patient: 2584
Time: 758.73, Decolonized Patient: 2570
Time: 759.48, Decolonized Patient: 2626
Time: 763.69, Decolonized Patient: 2570
Time: 764.11, Decolonized Patient: 2709
Time: 765.22, Decolonized Patient: 2665
Time: 767.03, Decolonized Patient: 2654
Time: 768.57, Decolonized Patient: 2703
Time: 769.36, Decolonized Patient: 2730
Time: 769.99, Decolonized Patient: 2770
Time: 772.14, Decolonized Patient: 2711
Time: 772.27, Decolonized Patient: 2800
Time: 774.32, Decolonized Patient: 2563
Time: 775.70, Decolonized Patient: 2620
Time: 778.22, Decolonized Patient: 2626
Time: 778.91, Decolonized Patient: 2736
Time: 782.34, Decolonized Patient: 2604
Time: 787.44, Decolonized Patient: 2602
Time: 794.11, Decolonized Patient: 2766
Time: 795.00, Decolonized Patient: 2787
Time: 795.94, Decolonized Patient: 2776
