Time,total_population,colonized,detected,isolated
3651.00,96,44,4,4
3651.00,96,44,4,4
3652.00,93,45,6,6
3652.00,93,45,6,6
3653.00,90,43,6,6
3653.00,90,43,6,6
3654.00,87,44,5,5
3654.00,87,44,5,5
3655.00,87,43,5,5
3655.00,87,43,5,5
3656.00,96,46,5,5
3656.00,96,46,5,5
3657.00,93,44,6,6
3657.00,93,44,6,6
3658.00,97,46,6,6
3658.00,97,46,6,6
3659.00,99,46,7,7
3659.00,99,46,7,7
3660.00,98,44,7,7
3660.00,98,44,7,7
3661.00,102,44,8,8
3661.00,102,44,8,8
3662.00,100,41,8,8
3662.00,100,41,8,8
3663.00,97,40,8,8
3663.00,97,40,8,8
3664.00,100,42,8,8
3664.00,100,42,8,8
3665.00,101,41,7,7
3665.00,101,41,7,7
3666.00,100,40,7,7
3666.00,100,40,7,7
3667.00,100,37,7,7
3667.00,100,37,7,7
3668.00,100,41,7,7
3668.00,100,41,7,7
3669.00,100,41,7,7
3669.00,100,41,7,7
3670.00,98,40,7,7
3670.00,98,40,7,7
3671.00,96,38,7,7
3671.00,96,38,7,7
3672.00,93,36,6,6
3672.00,93,36,6,6
3673.00,90,34,5,5
3673.00,90,34,5,5
3674.00,86,34,5,5
3674.00,86,34,5,5
3675.00,83,32,4,4
3675.00,83,32,4,4
3676.00,83,31,4,4
3676.00,83,31,4,4
3677.00,85,32,5,5
3677.00,85,32,5,5
3678.00,88,32,3,3
3678.00,88,32,3,3
3679.00,89,33,3,3
3679.00,89,33,3,3
3680.00,89,30,3,3
3680.00,89,30,3,3
3681.00,93,34,3,3
3681.00,93,34,3,3
3682.00,94,34,4,4
3682.00,94,34,4,4
3683.00,96,34,4,4
3683.00,96,34,4,4
3684.00,98,32,4,4
3684.00,98,32,4,4
3685.00,94,33,5,5
3685.00,94,33,5,5
3686.00,92,37,5,5
3686.00,92,37,5,5
3687.00,93,39,5,5
3687.00,93,39,5,5
3688.00,92,36,4,4
3688.00,92,36,4,4
3689.00,98,39,4,4
3689.00,98,39,4,4
3690.00,100,41,4,4
3690.00,100,41,4,4
3691.00,101,43,4,4
3691.00,101,43,4,4
3692.00,100,45,4,4
3692.00,100,45,4,4
3693.00,99,44,3,3
3693.00,99,44,3,3
3694.00,96,43,3,3
3694.00,96,43,3,3
3695.00,97,43,2,2
3695.00,97,43,2,2
3696.00,97,43,3,3
3696.00,97,43,3,3
3697.00,101,43,4,4
3697.00,101,43,4,4
3698.00,102,42,6,6
3698.00,102,42,6,6
3699.00,104,41,6,6
3699.00,104,41,6,6
3700.00,102,38,6,6
3700.00,102,38,6,6
3701.00,98,37,6,6
3701.00,98,37,6,6
3702.00,93,35,4,4
3702.00,93,35,4,4
3703.00,92,35,4,4
3703.00,92,35,4,4
3704.00,94,37,4,4
3704.00,94,37,4,4
3705.00,94,37,5,5
3705.00,94,37,5,5
3706.00,94,37,5,5
3706.00,94,37,5,5
3707.00,94,39,6,6
3707.00,94,39,6,6
3708.00,93,40,6,6
3708.00,93,40,6,6
3709.00,90,38,6,6
3709.00,90,38,6,6
3710.00,92,39,6,6
3710.00,92,39,6,6
3711.00,91,40,6,6
3711.00,91,40,6,6
3712.00,92,40,6,6
3712.00,92,40,6,6
3713.00,92,41,6,6
3713.00,92,41,6,6
3714.00,94,40,7,7
3714.00,94,40,7,7
3715.00,93,41,7,7
3715.00,93,41,7,7
3716.00,93,39,7,7
3716.00,93,39,7,7
3717.00,87,37,6,6
3717.00,87,37,6,6
3718.00,83,35,5,5
3718.00,83,35,5,5
3719.00,85,38,5,5
3719.00,85,38,5,5
3720.00,88,38,5,5
3720.00,88,38,5,5
3721.00,85,39,5,5
3721.00,85,39,5,5
3722.00,85,41,3,3
3722.00,85,41,3,3
3723.00,84,39,3,3
3723.00,84,39,3,3
3724.00,83,37,3,3
3724.00,83,37,3,3
3725.00,85,36,3,3
3725.00,85,36,3,3
3726.00,85,34,3,3
3726.00,85,34,3,3
3727.00,87,31,3,3
3727.00,87,31,3,3
3728.00,87,33,4,4
3728.00,87,33,4,4
3729.00,89,36,4,4
3729.00,89,36,4,4
3730.00,90,35,3,3
3730.00,90,35,3,3
3731.00,87,32,3,3
3731.00,87,32,3,3
3732.00,89,32,3,3
3732.00,89,32,3,3
3733.00,83,30,2,2
3733.00,83,30,2,2
3734.00,83,29,2,2
3734.00,83,29,2,2
3735.00,78,27,2,2
3735.00,78,27,2,2
3736.00,80,29,2,2
3736.00,80,29,2,2
3737.00,74,27,2,2
3737.00,74,27,2,2
3738.00,76,27,4,4
3738.00,76,27,4,4
3739.00,80,29,4,4
3739.00,80,29,4,4
3740.00,79,29,4,4
3740.00,79,29,4,4
3741.00,79,29,3,3
3741.00,79,29,3,3
3742.00,81,31,4,4
3742.00,81,31,4,4
3743.00,82,33,3,3
3743.00,82,33,3,3
3744.00,83,33,3,3
3744.00,83,33,3,3
3745.00,87,33,3,3
3745.00,87,33,3,3
3746.00,87,32,4,4
3746.00,87,32,4,4
3747.00,89,35,4,4
3747.00,89,35,4,4
3748.00,86,34,4,4
3748.00,86,34,4,4
3749.00,87,34,6,6
3749.00,87,34,6,6
3750.00,90,33,6,6
3750.00,90,33,6,6
3751.00,85,31,5,5
3751.00,85,31,5,5
3752.00,84,32,5,5
3752.00,84,32,5,5
3753.00,87,33,5,5
3753.00,87,33,5,5
3754.00,87,33,4,4
3754.00,87,33,4,4
3755.00,88,34,4,4
3755.00,88,34,4,4
3756.00,85,33,4,4
3756.00,85,33,4,4
3757.00,90,34,5,5
3757.00,90,34,5,5
3758.00,91,36,5,5
3758.00,91,36,5,5
3759.00,86,35,4,4
3759.00,86,35,4,4
3760.00,87,34,4,4
3760.00,87,34,4,4
3761.00,88,36,4,4
3761.00,88,36,4,4
3762.00,88,36,4,4
3762.00,88,36,4,4
3763.00,90,37,3,3
3763.00,90,37,3,3
3764.00,87,37,3,3
3764.00,87,37,3,3
3765.00,88,37,3,3
3765.00,88,37,3,3
3766.00,89,37,3,3
3766.00,89,37,3,3
3767.00,91,41,4,4
3767.00,91,41,4,4
3768.00,91,38,4,4
3768.00,91,38,4,4
3769.00,92,39,5,5
3769.00,92,39,5,5
3770.00,89,35,6,6
3770.00,89,35,6,6
3771.00,91,38,7,7
3771.00,91,38,7,7
3772.00,91,40,9,9
3772.00,91,40,9,9
3773.00,94,41,8,8
3773.00,94,41,8,8
3774.00,92,42,8,8
3774.00,92,42,8,8
3775.00,89,39,7,7
3775.00,89,39,7,7
3776.00,91,38,7,7
3776.00,91,38,7,7
3777.00,94,37,8,8
3777.00,94,37,8,8
3778.00,94,38,8,8
3778.00,94,38,8,8
3779.00,93,37,7,7
3779.00,93,37,7,7
3780.00,93,38,7,7
3780.00,93,38,7,7
3781.00,95,42,7,7
3781.00,95,42,7,7
3782.00,97,44,7,7
3782.00,97,44,7,7
3783.00,100,45,7,7
3783.00,100,45,7,7
3784.00,99,45,7,7
3784.00,99,45,7,7
3785.00,96,43,7,7
3785.00,96,43,7,7
3786.00,94,45,7,7
3786.00,94,45,7,7
3787.00,89,45,7,7
3787.00,89,45,7,7
3788.00,92,45,7,7
3788.00,92,45,7,7
3789.00,98,48,7,7
3789.00,98,48,7,7
3790.00,99,46,6,6
3790.00,99,46,6,6
3791.00,96,47,7,7
3791.00,96,47,7,7
3792.00,98,51,7,7
3792.00,98,51,7,7
3793.00,99,53,7,7
3793.00,99,53,7,7
3794.00,100,52,7,7
3794.00,100,52,7,7
3795.00,101,53,7,7
3795.00,101,53,7,7
3796.00,103,50,7,7
3796.00,103,50,7,7
3797.00,100,53,8,8
3797.00,100,53,8,8
3798.00,104,55,8,8
3798.00,104,55,8,8
3799.00,98,51,8,8
3799.00,98,51,8,8
3800.00,102,52,9,9
3800.00,102,52,9,9
3801.00,104,51,9,9
3801.00,104,51,9,9
3802.00,101,48,10,10
3802.00,101,48,10,10
3803.00,102,51,9,9
3803.00,102,51,9,9
3804.00,104,55,9,9
3804.00,104,55,9,9
3805.00,107,52,10,10
3805.00,107,52,10,10
3806.00,109,54,10,10
3806.00,109,54,10,10
3807.00,106,53,10,10
3807.00,106,53,10,10
3808.00,107,53,10,10
3808.00,107,53,10,10
3809.00,110,54,8,8
3809.00,110,54,8,8
3810.00,105,50,8,8
3810.00,105,50,8,8
3811.00,103,49,7,7
3811.00,103,49,7,7
3812.00,104,48,7,7
3812.00,104,48,7,7
3813.00,100,42,5,5
3813.00,100,42,5,5
3814.00,100,38,4,4
3814.00,100,38,4,4
3815.00,98,37,4,4
3815.00,98,37,4,4
3816.00,97,37,4,4
3816.00,97,37,4,4
3817.00,96,40,4,4
3817.00,96,40,4,4
3818.00,96,40,5,5
3818.00,96,40,5,5
3819.00,92,39,5,5
3819.00,92,39,5,5
3820.00,91,37,5,5
3820.00,91,37,5,5
3821.00,93,36,6,6
3821.00,93,36,6,6
3822.00,98,36,6,6
3822.00,98,36,6,6
3823.00,94,37,6,6
3823.00,94,37,6,6
3824.00,93,37,4,4
3824.00,93,37,4,4
3825.00,96,39,3,3
3825.00,96,39,3,3
3826.00,97,38,3,3
3826.00,97,38,3,3
3827.00,94,38,4,4
3827.00,94,38,4,4
3828.00,94,39,4,4
3828.00,94,39,4,4
