"run","allowImportationsDuringBurnIn","isBatchRun","isolatePatientWhenDetected","doActiveSurveillanceAfterBurnIn","isolationEffectiveness","diseaseName","shape1","shape2","importationRate","isActiveSurveillanceAgent","beta","extraIteration","prob1","midstaySurveillanceAdherence","daysBetweenTests","simulationDurationAfterBurnIn","randomSeed","admissionSurveillanceAdherence","meanDetectionTime","avgDecolonizationTime","scale2","scale1","probSurveillanceDetection","burnInPeriod"
1,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.0,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
17,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.016,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
33,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.032,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
49,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.048,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
65,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.064,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
81,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.08,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
97,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.096,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
113,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.112,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
129,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.128,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
145,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.144,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
