"run","DoActiveSurveillance","IsolationEffectiveness","DaysBetweenTests","tick","ClinicalDetections","MeanDailyPrevalence","MeanDischargePrevalence","ImportationPrevalence","NumberOfTransmissions"
1,"true",0.5,7.0,5474.0,565,0.19482336920675106,0.19607843137254902,0.20877084620135886,0
17,"true",0.5,7.0,5474.0,809,0.20859037410366965,0.2274479568234387,0.20739251469223632,1744
33,"true",0.5,7.0,5474.0,1073,0.22278289272231933,0.26452391730798247,0.21496454970583798,3880
49,"true",0.5,7.0,5474.0,1365,0.23584313652413963,0.29744525547445255,0.1950624809509296,6230
65,"true",0.5,7.0,5474.0,1713,0.2531777670777419,0.36485642946317104,0.20852192914000311,8906
81,"true",0.5,7.0,5474.0,2050,0.26859801440530795,0.3980006248047485,0.19840774274118014,11104
97,"true",0.5,7.0,5474.0,2480,0.28744773583526945,0.4636966240172653,0.20316582142308284,14040
113,"true",0.5,7.0,5474.0,2879,0.3081988440173509,0.5168763424363302,0.20015337423312884,16886
129,"true",0.5,7.0,5474.0,3373,0.32806134411282656,0.5681437490482717,0.207627765064836,19166
145,"true",0.5,7.0,5474.0,3858,0.3479559959383245,0.6360391122148068,0.21172285802660068,21588
161,"true",0.5,7.0,5474.0,4394,0.3672266875564788,0.6724218385440971,0.20828806456619586,23460
177,"true",0.5,7.0,5474.0,4925,0.3863924839860711,0.6908338442673206,0.20704980842911877,24814
193,"true",0.5,7.0,5474.0,5479,0.4040846035462252,0.728402734617775,0.20410383957718017,26406
10,"true",0.5,7.0,5474.0,597,0.21625815411004753,0.22009714632665453,0.21472019464720193,1364
26,"true",0.5,7.0,5474.0,837,0.22580483647801183,0.24373751344705702,0.2096378146101903,2838
42,"true",0.5,7.0,5474.0,1108,0.2407076559504336,0.2913816689466484,0.21252285191956125,5188
58,"true",0.5,7.0,5474.0,1416,0.2544557898121879,0.33527875902319154,0.20755296284924776,7440
74,"true",0.5,7.0,5474.0,1748,0.2730599704864275,0.39039408866995073,0.21291018333076567,10538
90,"true",0.5,7.0,5474.0,2151,0.29025288098901625,0.42713178294573645,0.2045770836554817,12476
