"run","allowImportationsDuringBurnIn","isBatchRun","isolatePatientWhenDetected","doActiveSurveillanceAfterBurnIn","isolationEffectiveness","diseaseName","shape1","shape2","importationRate","isActiveSurveillanceAgent","beta","extraIteration","prob1","midstaySurveillanceAdherence","daysBetweenTests","simulationDurationAfterBurnIn","randomSeed","admissionSurveillanceAdherence","meanDetectionTime","avgDecolonizationTime","scale2","scale1","probSurveillanceDetection","burnInPeriod"
1,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.0,1,0.62531,0.954,7.0,5475,-929615374,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
19,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.18,1,0.62531,0.954,7.0,5475,-929609984,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
37,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.36,1,0.62531,0.954,7.0,5475,-929571943,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
55,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.54,1,0.62531,0.954,7.0,5475,-929546907,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
73,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.72,1,0.62531,0.954,7.0,5475,-929519590,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
91,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.9,1,0.62531,0.954,7.0,5475,-929485196,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
109,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.07,2,0.62531,0.954,7.0,5475,-929454900,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
127,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.25,2,0.62531,0.954,7.0,5475,-929432086,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
145,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.43,2,0.62531,0.954,7.0,5475,-929396058,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
163,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.61,2,0.62531,0.954,7.0,5475,-929366830,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
181,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.79,2,0.62531,0.954,7.0,5475,-929335713,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
199,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.97,2,0.62531,0.954,7.0,5475,-929303808,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
217,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.14,3,0.62531,0.954,7.0,5475,-929268366,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
235,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.32,3,0.62531,0.954,7.0,5475,-929237778,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
253,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.5,3,0.62531,0.954,7.0,5475,-929207994,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
271,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.68,3,0.62531,0.954,7.0,5475,-929177585,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
289,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.86,3,0.62531,0.954,7.0,5475,-929148629,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
307,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.03,4,0.62531,0.954,7.0,5475,-929105476,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
325,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.21,4,0.62531,0.954,7.0,5475,-929097198,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
343,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.39,4,0.62531,0.954,7.0,5475,-929065840,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
361,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.57,4,0.62531,0.954,7.0,5475,-929034278,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
379,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.75,4,0.62531,0.954,7.0,5475,-929006901,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
397,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.93,4,0.62531,0.954,7.0,5475,-928978047,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
10,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.09,1,0.62531,0.954,7.0,5475,-929612140,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
28,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.27,1,0.62531,0.954,7.0,5475,-929571563,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
46,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.45,1,0.62531,0.954,7.0,5475,-929537314,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
64,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.63,1,0.62531,0.954,7.0,5475,-929499736,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
82,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.81,1,0.62531,0.954,7.0,5475,-929451998,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
100,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.99,1,0.62531,0.954,7.0,5475,-929401486,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
118,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.16,2,0.62531,0.954,7.0,5475,-929348404,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
136,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.34,2,0.62531,0.954,7.0,5475,-929305936,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
154,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.52,2,0.62531,0.954,7.0,5475,-929270150,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
172,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.7,2,0.62531,0.954,7.0,5475,-929228646,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
190,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.88,2,0.62531,0.954,7.0,5475,-929185735,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
208,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.05,3,0.62531,0.954,7.0,5475,-929145198,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
226,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.23,3,0.62531,0.954,7.0,5475,-929124082,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
244,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.41,3,0.62531,0.954,7.0,5475,-929085097,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
262,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.59,3,0.62531,0.954,7.0,5475,-929052935,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
280,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.77,3,0.62531,0.954,7.0,5475,-929013900,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
298,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.95,3,0.62531,0.954,7.0,5475,-928971413,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
316,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.12,4,0.62531,0.954,7.0,5475,-928917592,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
334,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.3,4,0.62531,0.954,7.0,5475,-928878521,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
352,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.48,4,0.62531,0.954,7.0,5475,-928841320,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
