"run","DoActiveSurveillance","IsolationEffectiveness","DaysBetweenTests","tick","ClinicalDetections","MeanDailyPrevalence","MeanDischargePrevalence","ImportationPrevalence","NumberOfTransmissions"
1,"false",0.5,7.0,5474.0,777,0.18017660004485833,0.19430992736077482,0.20907986638323717,0
19,"false",0.5,7.0,5474.0,2922,0.8621268062080162,0.866432605709052,0.2095498783454988,32138
37,"false",0.5,7.0,5474.0,3358,0.9486873322649811,0.9491031733864786,0.2051084782274196,34586
55,"false",0.5,7.0,5474.0,3408,0.9655756237187576,0.9694835680751174,0.21050156739811912,35672
73,"false",0.5,7.0,5474.0,3498,0.9682338025298788,0.9780049566294919,0.20330859616573901,36904
91,"false",0.5,7.0,5474.0,3623,0.9764361295483363,0.9795195565137049,0.21076164045636755,36422
109,"false",0.5,7.0,5474.0,1589,0.5258955816360515,0.5073831633429746,0.1939209726443769,16392
127,"false",0.5,7.0,5474.0,3126,0.9075112737112498,0.9111791730474732,0.19779208831646733,34486
145,"false",0.5,7.0,5474.0,3413,0.9539923272638635,0.95418170406402,0.20306873336464695,34992
163,"false",0.5,7.0,5474.0,3520,0.9659578947601678,0.9702492211838006,0.2062305295950156,35968
181,"false",0.5,7.0,5474.0,3454,0.9717018521861656,0.9760825386900109,0.20721424109931294,36210
199,"false",0.5,7.0,5474.0,3559,0.9795306249514356,0.9839252908756889,0.2038597028641446,36706
217,"false",0.5,7.0,5474.0,2547,0.7993064764440829,0.8083832335329342,0.2054857493104505,29128
235,"false",0.5,7.0,5474.0,3207,0.9391370011724919,0.9375292831485241,0.20641125879593433,34346
253,"false",0.5,7.0,5474.0,3404,0.9590494688911537,0.9669358525064757,0.2023121387283237,35582
271,"false",0.5,7.0,5474.0,3419,0.971642240059448,0.9741219963031423,0.20795437027901958,36026
289,"false",0.5,7.0,5474.0,3545,0.9717860935837596,0.9758809710258418,0.20320603488920322,37620
307,"false",0.5,7.0,5474.0,1009,0.3004523222991971,0.3070744516527649,0.20599598207386802,5860
325,"false",0.5,7.0,5474.0,2978,0.8895350868291776,0.8861678004535147,0.20211960635881907,32790
343,"false",0.5,7.0,5474.0,3413,0.946755606719163,0.9556627255756067,0.21537741734248284,35446
361,"false",0.5,7.0,5474.0,3347,0.9655429283586839,0.9719303747843814,0.22027259909133637,35676
